ID,Date,Time,Symbol,Category,LTP,Change_Pct,Prev_High,Prev_Low
60,2026-07-27,09:15,MAHLOG,GAINER,416.35,6.25,428.65,390.1
61,2026-07-27,09:15,ACE,GAINER,1039.4,6.17,1051,971.6
62,2026-07-27,09:15,HUHTAMAKI,GAINER,318.68,7.16,320.78,288.06
63,2026-07-27,09:15,PSPPROJECT,GAINER,1031.2,4.44,1039.9,972.6
64,2026-07-27,09:15,ABDL,GAINER,620.75,3.02,626.7,580
65,2026-07-27,09:15,HEG,GAINER,643.15,3.09,654,608
66,2026-07-27,09:15,KPITTECH,GAINER,583.2,5.86,587,546.15
67,2026-07-27,09:15,DBL,GAINER,420.25,8.65,433.75,381.55
68,2026-07-27,09:15,PVRINOX,GAINER,1063.95,5.61,1070,1008.2
69,2026-07-27,09:15,STLTECH,GAINER,564.15,2.79,576.25,521.45
70,2026-07-27,09:15,TATAELXSI,GAINER,3538,4.44,3556.6,3353.9
71,2026-07-27,09:15,LALPATHLAB,GAINER,1759.2,4.27,1791.4,1650.9
72,2026-07-27,09:15,RRKABEL,GAINER,2493.6,4.85,2506,2330.2
73,2026-07-27,09:15,MOTILALOFS,LOSER,871.95,-7.26,944.5,839.9
74,2026-07-27,09:15,SPANDANA,LOSER,261.5,-10.52,288,257.8
75,2026-07-27,09:15,BALAMINES,LOSER,2174.5,-7.44,2332.7,2123.5
76,2026-07-27,09:15,SOLARA,LOSER,491.95,-6.07,529.7,487
77,2026-07-27,09:15,GUJALKALI,LOSER,674.8,4.78,708.4,667.1
78,2026-07-27,09:15,SYRMA,LOSER,1288.3,-6.64,1368,1272.1
79,2026-07-27,09:15,GODIGIT,LOSER,256.2,-8.78,274.9,253
80,2026-07-27,09:15,VMART,LOSER,724.65,-4.61,792.3,715
81,2026-07-27,09:15,GVT&D,LOSER,4157.4,-3.95,4334,4115.6
82,2026-07-27,09:15,IGIL,LOSER,338.15,-2.16,353.25,325.65
83,2026-07-27,09:15,ROUTE,LOSER,568.55,-5.31,609.9,562
84,2026-07-27,09:15,CHENNPETRO,LOSER,1214.8,-4.32,1281.9,1209
85,2026-07-27,09:15,PWL,LOSER,128.05,-3.9,132.6,124.81
86,2026-07-27,09:15,MRPL,LOSER,169.75,-3.52,177.48,168.61
87,2026-07-27,09:15,WESTLIFE,LOSER,459.15,-3.9,476.85,454.5
88,2026-07-27,09:15,GAEL,GAINER,151.64,8.98,152.89,137.7
89,2026-07-27,09:18,CARTRADE,GAINER,2779.7,4.64,2741.6,2635.6
90,2026-07-27,09:18,THYROCARE,GAINER,593.7,5.22,597.6,543
91,2026-07-27,09:18,DCBBANK,GAINER,203.5,9.27,189.6,184.75
